"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"1965" "Upto 3 Axle Vehicle" 35 55 1165 NA " Jia Bridge ( BOT ) " 1 NA 2010-04-06 2011-04-01 " Jia Bridge ( BOT )  Km 262.200 - NH-21 (Old 3) in Chandigarh  " " Jia Bridge  " 12.18 "s) " "( BOT ) " 464000000 2014-04-01 14080926 2013-10-31 2009-06-24 "Sr No. - 1542 " 2291 "E.E. NH Division Pandoh / 1905282059" "MORTH" 2291 2012-08-21 1833 2012-08-01 FALSE
"1966" "4 to 6 Axle" 35 55 1165 NA " Jia Bridge ( BOT ) " 1 NA 2010-04-06 2011-04-01 " Jia Bridge ( BOT )  Km 262.200 - NH-21 (Old 3) in Chandigarh  " " Jia Bridge  " 12.18 "s) " "( BOT ) " 464000000 2014-04-01 14080926 2013-10-31 2009-06-24 "Sr No. - 1542 " 2291 "E.E. NH Division Pandoh / 1905282059" "MORTH" 2291 2012-08-21 1833 2012-08-01 FALSE
"1967" "HCM/EME" 50 75 1665 NA " Jia Bridge ( BOT ) " 1 NA 2010-04-06 2011-04-01 " Jia Bridge ( BOT )  Km 262.200 - NH-21 (Old 3) in Chandigarh  " " Jia Bridge  " 12.18 "s) " "( BOT ) " 464000000 2014-04-01 14080926 2013-10-31 2009-06-24 "Sr No. - 1542 " 2291 "E.E. NH Division Pandoh / 1905282059" "MORTH" 2291 2012-08-21 1833 2012-08-01 FALSE
"1968" "7 or more Axle" 70 105 2335 NA " Jia Bridge ( BOT ) " 1 NA 2010-04-06 2011-04-01 " Jia Bridge ( BOT )  Km 262.200 - NH-21 (Old 3) in Chandigarh  " " Jia Bridge  " 12.18 "s) " "( BOT ) " 464000000 2014-04-01 14080926 2013-10-31 2009-06-24 "Sr No. - 1542 " 2291 "E.E. NH Division Pandoh / 1905282059" "MORTH" 2291 2012-08-21 1833 2012-08-01 FALSE
"1969" "Car/Jeep/Van" 5 7.5 150 NA " Savitri ( Bridges ) " 1 NA 2001-12-29 2014-04-01 " Savitri ( Bridges )  Km 129.400 - NH-66 (Old 17) in Maharashtra  " " Savitri Bridge  " 0 "s) " "( Bridges ) " 35400000 2001-01-15 175900000 2014-04-30 2000-12-29 "Sr No. - NA)" NA "NA / 0" "MORTH" NA 2014-04-01 4796 2014-04-14 FALSE
"1970" "LCV" 5 7.5 150 NA " Savitri ( Bridges ) " 1 NA 2001-12-29 2014-04-01 " Savitri ( Bridges )  Km 129.400 - NH-66 (Old 17) in Maharashtra  " " Savitri Bridge  " 0 "s) " "( Bridges ) " 35400000 2001-01-15 175900000 2014-04-30 2000-12-29 "Sr No. - NA)" NA "NA / 0" "MORTH" NA 2014-04-01 4796 2014-04-14 FALSE
"1971" "Bus/Truck" 15 22.5 450 NA " Savitri ( Bridges ) " 1 NA 2001-12-29 2014-04-01 " Savitri ( Bridges )  Km 129.400 - NH-66 (Old 17) in Maharashtra  " " Savitri Bridge  " 0 "s) " "( Bridges ) " 35400000 2001-01-15 175900000 2014-04-30 2000-12-29 "Sr No. - NA)" NA "NA / 0" "MORTH" NA 2014-04-01 4796 2014-04-14 FALSE
"1972" "Upto 3 or more Axle Vehicle" 20 30 600 NA " Savitri ( Bridges ) " 1 NA 2001-12-29 2014-04-01 " Savitri ( Bridges )  Km 129.400 - NH-66 (Old 17) in Maharashtra  " " Savitri Bridge  " 0 "s) " "( Bridges ) " 35400000 2001-01-15 175900000 2014-04-30 2000-12-29 "Sr No. - NA)" NA "NA / 0" "MORTH" NA 2014-04-01 4796 2014-04-14 FALSE
"1973" "Car/Jeep/Van" 10 15 300 NA " Nashirabad ( BOT ) " 1 NA 2012-11-26 2014-04-01 " Nashirabad ( BOT )  Km 415.800 - NH-6 in Maharashtra  " " Nashirabad ROB ( Km. 414.000 to 419.000 of NH-6)  " NA "s) " "( BOT ) " 104500000 2000-07-24 765000000 2014-05-31 2000-07-07 "Sr No. - 454&1362)" NA "W.A. Ghosale,C.R. Gawande / 0" "Ms. Ashok Buildcon Ltd. Nashik" NA 2014-04-01 NA 2014-04-01 FALSE
"1974" "LCV" 10 15 300 NA " Nashirabad ( BOT ) " 1 NA 2012-11-26 2014-04-01 " Nashirabad ( BOT )  Km 415.800 - NH-6 in Maharashtra  " " Nashirabad ROB ( Km. 414.000 to 419.000 of NH-6)  " NA "s) " "( BOT ) " 104500000 2000-07-24 765000000 2014-05-31 2000-07-07 "Sr No. - 454&1362)" NA "W.A. Ghosale,C.R. Gawande / 0" "Ms. Ashok Buildcon Ltd. Nashik" NA 2014-04-01 NA 2014-04-01 FALSE
"1975" "Bus/Truck" 30 45 900 NA " Nashirabad ( BOT ) " 1 NA 2012-11-26 2014-04-01 " Nashirabad ( BOT )  Km 415.800 - NH-6 in Maharashtra  " " Nashirabad ROB ( Km. 414.000 to 419.000 of NH-6)  " NA "s) " "( BOT ) " 104500000 2000-07-24 765000000 2014-05-31 2000-07-07 "Sr No. - 454&1362)" NA "W.A. Ghosale,C.R. Gawande / 0" "Ms. Ashok Buildcon Ltd. Nashik" NA 2014-04-01 NA 2014-04-01 FALSE
"1976" "Upto 3 or more Axle Vehicle" 40 60 1200 NA " Nashirabad ( BOT ) " 1 NA 2012-11-26 2014-04-01 " Nashirabad ( BOT )  Km 415.800 - NH-6 in Maharashtra  " " Nashirabad ROB ( Km. 414.000 to 419.000 of NH-6)  " NA "s) " "( BOT ) " 104500000 2000-07-24 765000000 2014-05-31 2000-07-07 "Sr No. - 454&1362)" NA "W.A. Ghosale,C.R. Gawande / 0" "Ms. Ashok Buildcon Ltd. Nashik" NA 2014-04-01 NA 2014-04-01 FALSE
"1977" "Car/Jeep/Van" 10 15 300 300 " Fekri ( BOT ) " 1 NA 2009-07-01 2017-09-21 " Fekri ( BOT )  Km 399.00 - NH-6 in Maharashtra  " " Km 398.000 to Km 400.000  " 2.66 "s) " "( BOT ) " 207100000 2009-07-09 242700000 2014-01-31 2009-07-01 "Sr No. - 426" NA "Shri Nivaruti Sakaram Patil /Rravin Chaware / 9373438340" "M/s ADCC-VHCPL-SCPLJV Nagpur" NA 2014-04-01 NA 2014-04-01 FALSE
"1978" "LCV" 10 15 300 300 " Fekri ( BOT ) " 1 NA 2009-07-01 2017-09-21 " Fekri ( BOT )  Km 399.00 - NH-6 in Maharashtra  " " Km 398.000 to Km 400.000  " 2.66 "s) " "( BOT ) " 207100000 2009-07-09 242700000 2014-01-31 2009-07-01 "Sr No. - 426" NA "Shri Nivaruti Sakaram Patil /Rravin Chaware / 9373438340" "M/s ADCC-VHCPL-SCPLJV Nagpur" NA 2014-04-01 NA 2014-04-01 FALSE
"1979" "Bus/Truck" 35 52.5 1050 900 " Fekri ( BOT ) " 1 NA 2009-07-01 2017-09-21 " Fekri ( BOT )  Km 399.00 - NH-6 in Maharashtra  " " Km 398.000 to Km 400.000  " 2.66 "s) " "( BOT ) " 207100000 2009-07-09 242700000 2014-01-31 2009-07-01 "Sr No. - 426" NA "Shri Nivaruti Sakaram Patil /Rravin Chaware / 9373438340" "M/s ADCC-VHCPL-SCPLJV Nagpur" NA 2014-04-01 NA 2014-04-01 FALSE
"1980" "Upto 3 or more Axle Vehicle" 45 67.5 1350 1350 " Fekri ( BOT ) " 1 NA 2009-07-01 2017-09-21 " Fekri ( BOT )  Km 399.00 - NH-6 in Maharashtra  " " Km 398.000 to Km 400.000  " 2.66 "s) " "( BOT ) " 207100000 2009-07-09 242700000 2014-01-31 2009-07-01 "Sr No. - 426" NA "Shri Nivaruti Sakaram Patil /Rravin Chaware / 9373438340" "M/s ADCC-VHCPL-SCPLJV Nagpur" NA 2014-04-01 NA 2014-04-01 FALSE
"1981" "Car/Jeep/Van" 29 43.5 870 NA " Kharegaon ( BOT ) " 1 NA 2011-01-01 2017-05-13 " Kharegaon ( BOT )  Kharegaon - NH-3 in Maharashtra  " " Km 539.500 (Vadape) to Km  563.000 ( Majiwade-Thane)  " 23.5 "s) " "( BOT ) " 1048400000 2002-01-04 4691100000 2014-01-31 2002-01-04 "Sr No. - NA)" 95000 "Shri Vivek S. Gadikar / 8108184739" "M/s I.R.B.Pvt.Ltd. Mumbai" 13400 2010-06-12 13400 2010-06-12 FALSE
"1982" "LCV" 51 76.5 1530 25.5 " Kharegaon ( BOT ) " 1 NA 2011-01-01 2017-05-13 " Kharegaon ( BOT )  Kharegaon - NH-3 in Maharashtra  " " Km 539.500 (Vadape) to Km  563.000 ( Majiwade-Thane)  " 23.5 "s) " "( BOT ) " 1048400000 2002-01-04 4691100000 2014-01-31 2002-01-04 "Sr No. - NA)" 95000 "Shri Vivek S. Gadikar / 8108184739" "M/s I.R.B.Pvt.Ltd. Mumbai" 13400 2010-06-12 13400 2010-06-12 FALSE
"1983" "Bus/Truck" 103 154.5 3090 51.5 " Kharegaon ( BOT ) " 1 NA 2011-01-01 2017-05-13 " Kharegaon ( BOT )  Kharegaon - NH-3 in Maharashtra  " " Km 539.500 (Vadape) to Km  563.000 ( Majiwade-Thane)  " 23.5 "s) " "( BOT ) " 1048400000 2002-01-04 4691100000 2014-01-31 2002-01-04 "Sr No. - NA)" 95000 "Shri Vivek S. Gadikar / 8108184739" "M/s I.R.B.Pvt.Ltd. Mumbai" 13400 2010-06-12 13400 2010-06-12 FALSE
"1984" "Upto 3 or more Axle Vehicle" 220 330 6600 110 " Kharegaon ( BOT ) " 1 NA 2011-01-01 2017-05-13 " Kharegaon ( BOT )  Kharegaon - NH-3 in Maharashtra  " " Km 539.500 (Vadape) to Km  563.000 ( Majiwade-Thane)  " 23.5 "s) " "( BOT ) " 1048400000 2002-01-04 4691100000 2014-01-31 2002-01-04 "Sr No. - NA)" 95000 "Shri Vivek S. Gadikar / 8108184739" "M/s I.R.B.Pvt.Ltd. Mumbai" 13400 2010-06-12 13400 2010-06-12 FALSE
"1985" "Car/Jeep/Van" 25 37.5 750 NA " Moshi ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Moshi ( BOT )  Km 24.0 - NH-50 in Maharashtra  " " Pune Nashik Road Nh-50 (Km 12.190 to 42.000)  " 29.79 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo,Dada Shinde / 8108184747" "MORTH" NA 2014-04-01 50605 2014-04-01 FALSE
"1986" "LCV" 43 64.5 1290 NA " Moshi ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Moshi ( BOT )  Km 24.0 - NH-50 in Maharashtra  " " Pune Nashik Road Nh-50 (Km 12.190 to 42.000)  " 29.79 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo,Dada Shinde / 8108184747" "MORTH" NA 2014-04-01 50605 2014-04-01 FALSE
"1987" "Bus/Truck" 85 127.5 2550 NA " Moshi ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Moshi ( BOT )  Km 24.0 - NH-50 in Maharashtra  " " Pune Nashik Road Nh-50 (Km 12.190 to 42.000)  " 29.79 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo,Dada Shinde / 8108184747" "MORTH" NA 2014-04-01 50605 2014-04-01 FALSE
"1988" "Upto 3 or more Axle Vehicle" 182 273 5460 NA " Moshi ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Moshi ( BOT )  Km 24.0 - NH-50 in Maharashtra  " " Pune Nashik Road Nh-50 (Km 12.190 to 42.000)  " 29.79 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo,Dada Shinde / 8108184747" "MORTH" NA 2014-04-01 50605 2014-04-01 FALSE
"1989" "Car/Jeep/Van" 5 7.5 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1990" "LCV" 5 7.5 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1991" "Bus/Truck" 15 22.5 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1992" "Upto 3 Axle Vehicle" 15 22.5 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1993" "4 to 6 Axle" 15 22.5 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1994" "HCM/EME" 15 22.5 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1995" "7 or more Axle" 20 30 NA NA " Parvati Bridge ( Bridges ) " 1 NA 1992-03-31 2015-03-31 " Parvati Bridge ( Bridges )  Km 359.10 - NH-12 in Madhya Pradesh  " " Parvati Bridge  " 362.5 "s) " "( Bridges ) " 88400000 2014-04-01 188700000 2014-03-31 2014-04-01 "Sr No. - 431" NA "E.E. PWD NH Division Bhopal / 7552488956" "eepwdnhbpl@gmail.com" NA 2014-04-01 650 2014-03-31 FALSE
"1996" "Car/Jeep/Van" 25 37.5 750 NA " Chandloi(Rajgurunagar) ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Chandloi(Rajgurunagar) ( BOT )  Km 41.800 - NH-50 in Maharashtra  " " Pune Nashik Road NH-50 (Km 12.190 to 42.000)  " 29 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo Tupare, Dada Shinde / 8108184747" "S.G. Inamdar" NA 2014-04-01 32988 2014-04-01 FALSE
"1997" "LCV" 43 64.5 1290 NA " Chandloi(Rajgurunagar) ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Chandloi(Rajgurunagar) ( BOT )  Km 41.800 - NH-50 in Maharashtra  " " Pune Nashik Road NH-50 (Km 12.190 to 42.000)  " 29 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo Tupare, Dada Shinde / 8108184747" "S.G. Inamdar" NA 2014-04-01 32988 2014-04-01 FALSE
"1998" "Bus/Truck" 85 127.5 2550 NA " Chandloi(Rajgurunagar) ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Chandloi(Rajgurunagar) ( BOT )  Km 41.800 - NH-50 in Maharashtra  " " Pune Nashik Road NH-50 (Km 12.190 to 42.000)  " 29 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo Tupare, Dada Shinde / 8108184747" "S.G. Inamdar" NA 2014-04-01 32988 2014-04-01 FALSE
"1999" "Upto 3 or more Axle Vehicle" 182 273 5460 NA " Chandloi(Rajgurunagar) ( BOT ) " 1 NA 2014-06-30 2014-07-01 " Chandloi(Rajgurunagar) ( BOT )  Km 41.800 - NH-50 in Maharashtra  " " Pune Nashik Road NH-50 (Km 12.190 to 42.000)  " 29 "s) " "( BOT ) " 1276000000 2005-12-20 1588700000 2014-03-01 2005-12-15 "Sr No. - 1760E)" 45000 "Mahadeo Tupare, Dada Shinde / 8108184747" "S.G. Inamdar" NA 2014-04-01 32988 2014-04-01 FALSE
"2000" "Car/Jeep/Van" 20 30 600 NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2001" "LCV" 60 90 1800 NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2002" "Bus/Truck" 215 322.5 6450 NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2003" "Upto 3 Axle Vehicle" 215 322.5 6450 NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2004" "4 to 6 Axle" 215 322.5 6450 NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2005" "HCM/EME" 300 450 4000 NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2006" "7 or more Axle" NA NA NA NA " Ashoka DSC Katni bypass ( BOT ) " 1 NA 2012-09-17 2014-09-16 " Ashoka DSC Katni bypass ( BOT )  Km 361.2 To 378.6 - NH-7 in Madhya Pradesh  " " Katni bypass (Km  361.200 To 378.600)  " 17.65 "s) " "( BOT ) " 480000000 2008-02-23 868300000 2014-04-30 2008-02-20 "Sr No. - 383" NA "Ganesh Vikhe / 9826021824" "Ganesh Vikhe" 28202 2014-04-01 12097 2003-04-01 FALSE
"2007" "Car/Jeep/Van" 25 37.5 750 NA " Kawdipath ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kawdipath ( BOT )  Km 14.050 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 in stretch Km 14/00 to  40/00 (total 26 Km.)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - S.O.1404" 45000 "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 47130 2010-11-19 FALSE
"2008" "LCV" 25 37.5 750 NA " Kawdipath ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kawdipath ( BOT )  Km 14.050 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 in stretch Km 14/00 to  40/00 (total 26 Km.)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - S.O.1404" 45000 "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 47130 2010-11-19 FALSE
"2009" "Bus/Truck" 60 90 1800 NA " Kawdipath ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kawdipath ( BOT )  Km 14.050 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 in stretch Km 14/00 to  40/00 (total 26 Km.)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - S.O.1404" 45000 "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 47130 2010-11-19 FALSE
"2010" "Upto 3 or more Axle Vehicle" 60 90 1800 NA " Kawdipath ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kawdipath ( BOT )  Km 14.050 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 in stretch Km 14/00 to  40/00 (total 26 Km.)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - S.O.1404" 45000 "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 47130 2010-11-19 FALSE
"2011" "Car/Jeep/Van" 25 37.5 750 NA " Kasurdi ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kasurdi ( BOT )  Km 39.800 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 (Km 14.000 to  40.000)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - 1404" NA "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 NA 2014-04-01 FALSE
"2012" "LCV" 25 37.5 750 NA " Kasurdi ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kasurdi ( BOT )  Km 39.800 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 (Km 14.000 to  40.000)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - 1404" NA "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 NA 2014-04-01 FALSE
"2013" "Bus/Truck" 60 90 1800 NA " Kasurdi ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kasurdi ( BOT )  Km 39.800 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 (Km 14.000 to  40.000)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - 1404" NA "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 NA 2014-04-01 FALSE
"2014" "Upto 3 or more Axle Vehicle" 60 90 1800 NA " Kasurdi ( BOT ) " 1 NA 2017-03-10 2014-04-01 " Kasurdi ( BOT )  Km 39.800 - NH-9 in Maharashtra  " " Pune Solapur Road NH-9 (Km 14.000 to  40.000)  " 26 "s) " "( BOT ) " 887100000 2014-12-27 1341700000 2014-06-04 2014-12-23 "Sr No. - 1404" NA "Mahadeo Tupare, Dada Shinde / 8422970275" "Inamdar S.G." NA 2014-04-01 NA 2014-04-01 FALSE
"2015" "Car/Jeep/Van" 40 40 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
"2016" "LCV" 21 21 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
"2017" "Bus/Truck" 113 113 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
"2018" "Upto 3 Axle Vehicle" 113 113 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
"2019" "4 to 6 Axle" 113 113 NA NA " Koshta ( BOT ) " 1 NA 2013-04-27 2015-04-27 " Koshta ( BOT )  Km 650 - NH-7 in Madhya Pradesh  " " Rewa by Pass  " 19.44 "s) " "( BOT ) " 480000000 2007-04-27 951200000 2014-05-31 2007-04-27 "Sr No. - 4961)" NA "Ajay Pratap Singh / 9425912721" "Ajay Pratap Singh" NA 2014-04-01 10762 2014-05-31 FALSE
